Source,Target,Weight
US5670147-A,US7255879-B2,1.0
US7378485-B2,US10694739-B2,1.0
US7378485-B2,US9986733-B2,1.0
US7378485-B2,US11510407-B2,1.0
WO2007094676-A1,WO2009023194-A3,1.0
US20170198256-A1,EP3765599-B1,1.0
US20170198256-A1,WO2019174879-A1,1.0
US20170198256-A1,CN112041429-A,1.0
US20170198256-A1,CN112041429-B,1.0
WO2019174879-A1,WO2022142102-A1,1.0
US20080181935-A1,US8293223-B2,1.0
US20080181935-A1,US8435788-B2,1.0
WO2004087896-A2,US10947510-B2,1.0
WO2004087896-A2,WO2012014076-A3,1.0
WO2004087896-A2,US7311904-B2,1.0
WO2004087896-A2,CN103237888-A,1.0
WO2004087896-A2,US9765301-B2,1.0
WO2004087896-A2,EP3564361-A1,1.0
WO2004087896-A2,AU2011284445-B2,1.0
WO2004087896-A2,US11034935-B2,1.0
CN103237888-A,WO2021190187-A1,1.0
CN103237888-A,CN113512524-B,1.0
CN103237888-A,US11725184-B2,1.0
CN103237888-A,CN109415680-A,1.0
CN103237888-A,CN109477070-A,1.0
CN103237888-A,US11591572-B2,1.0
CN103237888-A,CN110381967-A,1.0
CN103237888-A,CN109477070-B,1.0
US20180214614-A1,US11559607-B2,1.0
US20190271030-A1,US11434524-B2,1.0
US20190271030-A1,US11624086-B2,1.0
WO2004085430-A1,EP3884935-A1,1.0
WO2004085430-A1,EP3884935-B1,1.0
WO2016033163-A1,US11767515-B2,1.0
WO2016033163-A1,US11053477-B2,1.0
WO2016033163-A1,US11066650-B2,1.0
WO2016033163-A1,US10174289-B2,1.0
US20100112014-A1,US11661574-B2,1.0
US8148152-B2,US11661574-B2,1.0
US5151366-A,US11661574-B2,1.0
US20050019865-A1,US2005019908-A1,1.0
US20050019865-A1,US7311904-B2,1.0
US20050019865-A1,US2008131966-A1,1.0
US20050019865-A1,US2010260847-A1,1.0
US20050019865-A1,US2002160510-A1,1.0
US20050019865-A1,US7468276-B2,1.0
US20050019865-A1,US8293223-B2,1.0
US20050019865-A1,US8435788-B2,1.0
CN107208052-A,CN111836884-B,1.0
CN107208052-A,CN111836884-A,1.0
CN107208052-A,CN112771151-A,1.0
US20050282272-A1,US8293223-B2,1.0
US20050282272-A1,US8435788-B2,1.0
US20180094316-A1,US11434524-B2,1.0
US20180094316-A1,US11624086-B2,1.0
US6835377-B2,US2005019908-A1,1.0
US6835377-B2,US7311904-B2,1.0
US6835377-B2,US7468276-B2,1.0
US6835377-B2,US8293223-B2,1.0
US6835377-B2,US8435788-B2,1.0
US20210270822-A1,US11434524-B2,1.0
US20210270822-A1,US11624086-B2,1.0
US3862002-A,US2004048372-A1,1.0
US3862002-A,US7468276-B2,1.0
US3862002-A,US8293223-B2,1.0
US3862002-A,US2003032179-A1,1.0
US3862002-A,US7255879-B2,1.0
US20090324559-A1,US11473061-B2,1.0
WO2017178572-A1,EP3746785-A4,1.0
US7964078-B2,US11773359-B2,1.0
US7964078-B2,US10472612-B2,1.0
US7964078-B2,US10655098-B2,1.0
US7964078-B2,US10954482-B2,1.0
WO2018091676-A1,US11434524-B2,1.0
WO2018091676-A1,US11624086-B2,1.0
US20030161818-A1,US7311904-B2,1.0
US20030161818-A1,US2002160510-A1,1.0
US7638141-B2,US8293223-B2,1.0
US7638141-B2,US8435788-B2,1.0
EP667345-A1,EP3884935-A1,1.0
EP667345-A1,EP3884935-B1,1.0
US20030044909-A1,EP3884935-A1,1.0
US20030044909-A1,EP3884935-B1,1.0
