PatentNumber,CitedByOthers,CitesOthers,TotalDegree,GlobalEfficiency,SubgraphEfficiency,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,ComponentSize,Connectivity
US10729761-B2,0,1,1,0.03902327472503229,0.33506350684971675,0.0,0,0.0,114,0.3266
US11911453-B2,0,16,16,0.03902327472503229,0.33506350684971675,0.0,0,0.7,114,0.3266
US10988754-B2,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
US11576961-B2,1,13,14,0.03902327472503229,0.33506350684971675,9.201291125170683e-07,0,0.8021978021978022,114,0.3266
US11752206-B2,0,16,16,0.03902327472503229,0.33506350684971675,0.0,0,0.6916666666666667,114,0.3266
US11497807-B2,3,11,14,0.03902327472503229,0.33506350684971675,9.201291125170683e-07,0,0.8241758241758241,114,0.3266
US11464848-B2,4,12,16,0.03902327472503229,0.33506350684971675,9.201291125170683e-07,0,0.8166666666666667,114,0.3266
US11141476-B2,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
US11413346-B2,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
US10064934-B2,28,5,33,0.03902327472503229,0.33506350684971675,0.000624974696449406,0,0.3731060606060606,114,0.3266
US10124055-B2,25,2,27,0.03902327472503229,0.33506350684971675,4.715661701649975e-06,0,0.42450142450142453,114,0.3266
US10383937-B2,1,6,7,0.03902327472503229,0.33506350684971675,1.3801936687756025e-06,0,0.6190476190476191,114,0.3266
US10933127-B2,5,11,16,0.03902327472503229,0.33506350684971675,0.00042082104960968126,0,0.31666666666666665,114,0.3266
US11643441-B1,1,11,12,0.03902327472503229,0.33506350684971675,9.201291125170683e-07,0,0.7727272727272727,114,0.3266
US10449244-B2,21,7,28,0.03902327472503229,0.33506350684971675,5.118218188376192e-05,0,0.5291005291005291,114,0.3266
US11364292-B2,0,11,11,0.03902327472503229,0.33506350684971675,0.0,0,0.7454545454545455,114,0.3266
US11559570-B2,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
US9872900-B2,29,4,33,0.03902327472503229,0.33506350684971675,0.0006045248269237139,0,0.30492424242424243,114,0.3266
